Merci pour le partage!,nocode
Dorian Gray with Rainbow Scarf (from,happy
... Replace with your wish which the artist uses in next installation! It was entralling!,happy
thank you for following me back. Great to hear from a diverse &amp; interesting panel,happy
What a beautiful jewel / portrait. Is the 'R' for Rex ?,happy
I have always loved this painting.,happy
"say wot, mate?",nocode
Two workshops on evaluating audience engagement + early July,nocode
"A Forest Road, by Thomas Gainsborough 1750 Oil on Canvas",nocode
Lucky Good luck &amp; see you soon :),happy
"""1...2..."" ""non arrête mon brush!"". l.Alma|A favourite custom|1909",nocode
"The two works in our free exhibition play with space, movement, and architect... via",nocode
Yr 9 art students are off to the today. Enjoy!,happy
Indeed,nocode
More Live tonight with Dan Snow in,nocode
Please vote for us as local charity PRT,not-relevant
Have you got plans to privatise any other roles ?,not-relevant
New digital installation by Girton Artist in Residence will be projected on the façade of the tonight from 9pm!,nocode
so beautiful,happy
I'm with (with Sussanna at [pic] —,nocode
awesome museum,happy
Why do you pay your brilliant staff so poorly?,angry
A sneak peek exhibition,nocode
Couldn't agree more ; counting the days till we see again !,nocode
,nocode
of course!,nocode
soo beautiful,happy
"I do, I do, I do. :)",happy
one of my favourite paintings! He was a great artist,happy
Free CPD afternoon for 2016 'War Games' exhibition on Thurs 2 Jul from 4pm Details at,nocode
The Magna Carta exhibition was quite extraordinary. Very imaginatively done. Even a bit of Tony Hancock in there!,happy
"Over 100 people signed up for 'What's It Worth?' Don't miss out, book now!",not-relevant
,nocode
"Kudos, for a top-flight WC exhibition!",happy
"Jack from blogs about how can keep up with tech &amp; youngsters, its all in the collection -",nocode
,nocode
ooh... Please let us know how it is!!!,happy
I miss Cornwall so much.,not-relevant
£10 off membership plus offers from with,not-relevant
Spain? Egypt?,nocode
Enjoying the amazing collections with the family,happy
"Ædwen's Brooch - story of an lady, filmed at for &amp; exhibition",nocode
Beautiful painting. Thank you.,happy
a truly breathtaking exhibition.fascinating on portrayals of women,happy
haha not in my case...,nocode
The Great Court of the,nocode
👋🎨,nocode
"It's one of them things, innit?",nocode
Discover The Arts with Social Media: NOHO Co-Founder Rod McIntosh on NOHO Origins*,nocode
"thank you for the favourite, following you back, your mum did a great job at",happy
Treats for the end of June followed by *perfect summer*,happy
Is this Ivana moonlighting?,nocode
One of the best places in the country.,happy
Rosetta stone,nocode
Gemma is visiting Australia today but has failed to find a Hemsworth. Keep trying!,nocode
Awwh - possum!,happy
"Only two more weeks to see our exhibition on Roman food - stunning objects from , &amp; Corinium",nocode
"Wonderful experience, hearing Tim Knox’s keynote on contents &amp; decor of UK country houses in gallery 3 of",happy
A little bit of history today,nocode
Hooray! wins Evolver Prize 2015! See it at from 4 July.,happy
Fabulous Enid Blyton exhibition Great for kids of ALL ages!,happy
"Castle Hill Open Day starts at 12. Art, dance, family activities, tours, talks, a nuclear bunker and more",nocode
"How was the battle controlled? Drums,messages? Did regiments respond to the wrong drummers or instructions?",nocode
coffin for babies?,nocode
"Important art and true culture, to effectively counter the culture of violence",nocode
"Alla buon ora... Ti ho trovato finalmente... (at in London, Greater London)",nocode
Enid Blyton exhib'n opens Wed 17 June! We've been helping set up,happy
KETTLE'S YARD: ANTIMUSEUM - meet the Archivist is buzzing!,happy
"""Lot more I can do with £13.5m"": Director of confirms they are not trying to buy export ban Cezanne",nocode
A week writing reports about reports suddenly brightened by the thought of at tomorrow with,happy
La fama viene y va...,not-relevant
Samba time!,happy
"The 2nd GENOCIDE against as promised by has begun,3days of unreported aerial Bombardment in",not-relevant
Lots of ancient artefacts to enjoy,happy
"I'm at in London, Greater London",nocode
St George slaying the dragon. German. 15th Century. Painted wooden church statuette,nocode
Plus excellent prizes from the,happy
"Feliz cumpleaños,Rubens! Happy birthday,Rubens!",happy
Behind the walls,nocode
midweek is better for me girls x,nocode
See Christopher Williams - The Production Line of Happiness - via,nocode
. What message does oil sponsorship of the arts send to those ngotiating a climate deal in Paris this year,angry
"UNESCO-VENETO-THE OPERA una nuova idea di bellezza per l'Italia e il Mondo su,",nocode
"Big pocket required RT Ancient Roman version of Swiss Army knife, 3rd century CE, at",nocode
MPs are to debate privatisation tomorrow as strikes continue ask your MP to attend,not-relevant
I Love Museums via,happy
can you attend adjournment debate tomorrow,angry
,nocode
"Excellent exhibition at on Napoleonic era caricature/prints, well worth a look",happy
"I'm at in London, Greater London",nocode
In the Mesoamerican gallery at Lord Shield Jaguar &amp; Lady Xoc of Yaxochilan summon spirits.,nocode
today shortest day down under-winter solstice *waves*,not-relevant
we love the badge! Here she is visiting Peel Park in 1851,happy
,nocode
,nocode
students day,nocode
,not-relevant
Remember satiric prints show or explore,nocode
This de Hooch 'Courtyard of a House in Delft' us quite simply my favorite painting in Thanks for placing it center stage.,happy
Termas: Underwater Throne photos taken by Ian Kingsnorth of my recent performance,nocode
* It looks like there's some involved in that sketch of at,nocode
"new exhibition Famous 5 btw, -",nocode
"Yes! 🌈 Georges - Étude pour ""Baigneurs à Asnières"", 1883",nocode
actually the longest day this year will be June 30th when the next leap second will be added at 23:59:60,not-relevant
A grant helped us acquire 'Whistlejacket' in 1997. Learn more: via,happy
London London London,not-relevant
It's amazing! You're always so up to date! The best museum in the world! Thanks!,happy
moving exh about effect of colonisation &amp; documents the peoples' fight for rights to their 'country'.,nocode
Have you seen the in the The at (1870) by Claude,nocode
Yum! 😀,happy
{ },nocode
Of course! Nothing more and nothing less than the eye of Horus! Greetings!,happy
"u didn't respond to my compliments,earlier?",nocode
for the peninsula wars and the 1st defeat of Napolean.,nocode
well deserved. Congrats!,happy
loved the exhibition today! My mum especially loved it! X,happy
task 40821 of Foreign Weapons before starting my real job for the day - happy Monday!,happy
All vital and profitable national institutions. Don't let the sell them off,not-relevant
User testing and 3D printing,nocode
Lenin's favourite painter,nocode
I got 10/10 in 'Can you guess the artwork?',happy
And Rubens' Massacre of the Innocents,nocode
one of the most delicious coffee's ever before tackling the Greek exhibition,nocode
How much did spend on employing CIS to staff the Rembrandt Exhibition and the Sainsbury Wing?,not-relevant
This is how a show should be hung. Don't miss Christopher Williams' The Production Line of Happiness,nocode
A young friend has drawn us a great pic of inside and out with his new pencil,happy
: Culture? Funded by the P.R. budget? DO ME A FAVOUR. I wouldn't go there if you paid me.,disgust|angry
got a painting in London Open at and couple of paintings in Reality at - both open mid July,nocode
Artist Larissa Sansour discusses the use of sci-fi in her films 27 June with,nocode
When will you be re-instating Candy Udwin? Why should the arts be subject to private profit?,angry
Patients of Sharp Ward are enjoying historic views of the city thanks to,happy
Rosetta Stone example of what the Napoleonic Wars brought out of Egypt,nocode
It is also a privilege to have the great in London it is truly wonderful,happy
Are you encouraging them to violate men's privacy? Assault! This woman's advocating assault!,disgust|angry
The bird cage to represent infancy. The instrument to represent youth . The Armour to represent strength and manhood,nocode
Fantastic to be in London today speaking event. Met lovely people from &amp;,happy
"It's a bright but cloudy day. If the sun is behind a cloud, there wouldn't be a lot of shadow, maybe?",not-relevant
open source Events CMS - could this be what needs?,nocode
What do you take more pride in: Hanging classic artwork or hanging your staff out to dry?,angry
"The 2nd GENOCIDE against as promised by has begun,3days of unreported aerial Bombardment in",not-relevant
"""Crisis Through the Ages"" topic of our one-day conference. Booking is free but mandatory. Thx!",nocode
Walking through the :,nocode
"Excited for discussions on the potential, practicalities &amp;challenges of museum archival research event in July",happy
thank you,happy
Thanks to Lucy &amp; co. New Rhythms Through New Eyes going up in the Education studio in prep for Saturday!,happy
Wonderful book from trip to the today. Such a fun way to improve on geography knowledge!,happy
"I'm at in London, Greater London",nocode
In London a beautiful Vermeer,happy
ignores questions on sponsorship fees received from Shell. No surprises.,disgust
CEO N Chandra welcomed 450 guests to the TCS UK reception which featured 400 yrs of magic,nocode
Jackson Pollock,nocode
"at the dinner listening to the wonderful main speaker, Tim Knox of",happy
Fantastic standing up for workers while sits on fence!,angry
Enjoyed a couple of hours in side the British Museum lonelyplanet,happy
not long till the blind spots exhibition! 😍,happy
Lo viste? El tuit más popular de hoy entre las personas que sigo por,nocode
"you have incredibly helpful staff here, from security team to support staff in rooms and galleries!",happy
Amazing job team - 2 in the bag. Massive thanks to Happy peeps!,happy
can you attend adjournment debate tomorrow,nocode
/ Exeter Redcoats ready for the coming to pic,nocode
"After his defeat at Waterloo, Napoleon abdicated for the second time via",nocode
Art Prize winner Corin Sworn creates a new large-scale installation,nocode
"6 years ago today, the greatest museum opened: the",happy
Spartan! Do you suppose some knew when to pose?,nocode
BEATRICE GIBSON will present her new film THIS SATURDAY Book now:,nocode
,not-relevant
Had an excellent lunchtime visit to with this afternoon for the exhibition.,happy
The perfect location to wear ... The Great Court,happy
whole trip free!,happy
Reinstate Candy after tribunal success,nocode
Second phase of Cornwallâs Tate St Ives steams ahead,nocode
,nocode
Praise for,happy
what is the scope of getting some of the art and ideally complete exhibitions outside London? NW maybe,nocode
"...and have the Sutton Hoo Anglo-Saxon hoard, including the iconic helmet. Striking up close.",happy
Looking forward to seeing the Australia exhibition at soon. My take on the Ancient Greece exhibit:,happy
that or piss,not-relevant
Evidence correct Christopher Wood and correct time frame ?,nocode
Development Officer - in - closing date 10 July,not-relevant
Work experience was great,happy
I'm curious to know what is the story behind this unsettling display?,nocode
Frans Hals; We replaced the heavy 70s pastiche with a Dutch 17th century rosewood moulding frame.,nocode
Thanks to Tom for helping me study Bronze Age metalwork this week for my Read about my visit here:,happy
"My ToI Q&amp;A: W/writer,filmmaker &amp; first woman head of on 'The Improbability of Love':",nocode
the trail has disappeared from that linked page.,not-relevant
Henry VIII crowned king 1509.19th-century portrait (after Holbein),nocode
"haven't seen the garden yet but will soon. I'm a fan, that's what I am!! Rhyme of the day",happy
Visitors like 3D weather. Millionth visitor today!,happy
Get in the mood for &amp; make some Jazzy Drips with the family,nocode
: Cover Ulysses-nya Joyce karya Matisse :,nocode
Ancient lives new discoveries,nocode
"Ich fürchte dass auch dann die Leute nicht kommen würden. Siehe Text, warum.",not-relevant
The most erotic painting in The No! not the Bronzino!-- but--'Leda &amp; the Swan' after Michealangleo,happy|surprise
hear hear. Super interesting,happy
Apart from the obvious skull? No idea!,nocode
"Oh dear, why not Dame Laura Knight? Surely 'The Beach' should be in this list!",sad
,nocode
Following on from the UK's newest royal baby posts painting of original Queen Charlotte:,nocode
"Ooh, this looks good - Jackson Pollock exhibition opens 30th June",happy
Nothing to do with football this one... its just a tiny bit exciting,happy
TY / M Also follow 2017 Abstract Film Program,nocode
